BusinessPartner;PersonFullName;BusinessPartnerCategory;LastChangeDate;LastChangeTime
000097;Mrs. Ulla Detemple;1;2021-07-30;01:18:29
000098;Mr. Jean Luc Detemple;1;2023-07-30;07:51:36
000099;Mrs. Christine Detemple;1;2024-03-12;12:26:16
000100;Mrs. Ruth Detemple;1;2024-09-08;06:15:08
000101;Mrs. Christa Detemple;1;2023-06-17;03:56:52
000102;Mrs. Ulla Barth;1;2023-12-05;00:42:18
000103;Mr. Guillermo Barth;1;2023-01-05;14:15:24
000104;Mr. Simon Barth;1;2021-01-21;03:52:50
000105;Mr. Lee Barth;1;2021-12-06;08:33:38
000106;Mr. Juan Barth;1;2024-11-23;05:06:38
000107;Mr. Christoph Barth;1;2021-11-22;13:19:17
000108;Mr. Allen Barth;1;2022-07-24;13:00:50
000109;Mrs. Anna Barth;1;2024-03-21;03:00:00
000110;Mrs. Claire Benz;1;2024-04-06;04:07:26
000111;Mrs. Cindy Benz;1;2023-11-22;21:39:30
000112;Mr. Dominik Benz;1;2022-04-14;07:06:16
000113;Mrs. Uli Benz;1;2023-07-19;23:25:42
000114;Mr. Lothar Benz;1;2021-12-25;18:55:37
000115;Mrs. Laura Benz;1;2024-06-28;12:31:25
000116;Mr. Peter Hansmann;1;2023-11-25;19:55:34
000117;Mrs. Annemarie Hansmann;1;2023-09-30;02:47:34
000118;Mrs. Ruth Hansmann;1;2024-12-11;10:01:00
000119;Mr. August Hansmann;1;2023-03-22;06:03:02
000120;Mr. Harish Hansmann;1;2023-04-18;20:04:49
000121;Mr. Salvador Hansmann;1;2022-01-28;04:02:18
000122;Mrs. Theresia Hansmann;1;2024-11-30;09:02:13
000123;Mr. Georg Hansmann;1;2022-11-11;01:44:21
000124;Mrs. Theresia Hansmann;1;2022-06-25;19:34:08
000125;Mrs. Cindy Hansmann;1;2021-06-17;13:48:09
000126;Mr. Benjamin Hansmann;1;2024-08-23;03:38:26
000127;Mrs. Ulla Koslowski;1;2024-05-04;12:58:42
000128;Mrs. Amelie Koslowski;1;2024-03-25;15:39:48
000129;Mrs. Anne Marie de Koslowski;1;2023-03-16;17:34:42
000130;Mr. Walter Koslowski;1;2021-11-02;22:26:50
000131;Mrs. Uli Koslowski;1;2021-09-21;15:52:36
000132;Mrs. Annemarie de Koslowski;1;2023-09-04;20:18:52
000133;Mr. Adam Koslowski;1;2024-03-19;11:30:53
000134;Mr. Johann Koslowski;1;2021-01-11;07:52:07
000135;Mr. Johannes Wohl;1;2022-08-03;20:49:22
000136;Mrs. Christine Wohl;1;2023-11-24;07:10:11
000137;Mr. Johann Wohl;1;2022-10-19;23:22:35
000138;Mr. August Wohl;1;2023-01-02;01:06:34
000139;Mr. Georg Wohl;1;2023-08-16;20:47:38
000140;Mrs. Ruth Wohl;1;2021-02-18;05:28:19
000141;Mr. Friedrich Wohl;1;2023-02-21;11:35:25
000142;Mr. Max Koller;1;2022-12-14;02:23:00
000143;Mr. Georg Koller;1;2022-07-06;11:19:21
000144;Mr. Ludwig Koller;1;2024-05-09;07:37:14
000145;Mrs. Theresia Koller;1;2023-04-21;18:18:02
000146;Mr. Holm Koller;1;2021-05-24;13:14:58
000147;Mr. Illya Koller;1;2022-01-16;22:31:15
000148;Mr. Simon Koller;1;2024-11-04;15:42:54
000149;Mr. Benjamin Koller;1;2023-04-13;01:41:14
000150;Mrs. Mathilde Koller;1;2024-01-21;14:00:42
000151;Mr. Kurt Koller;1;2021-06-18;08:01:24
000152;Mr. James Koller;1;2021-09-30;01:12:50
000153;Mr. Stephen Hoffen;1;2024-06-18;04:40:04
000154;Mr. Friedrich Hoffen;1;2023-07-29;04:59:29
000155;Mr. Georg Hoffen;1;2024-07-06;06:37:00
000156;Mr. Hendrik Hoffen;1;2023-09-09;05:17:27
000157;Mr. Roland Hoffen;1;2023-08-16;09:48:26
000158;Mr. Dominik Hoffen;1;2023-01-31;05:13:55
000159;Mrs. Chantal Hoffen;1;2024-08-24;20:45:18
000160;Mr. Max Hoffen;1;2024-02-04;23:46:24
000161;Mr. Kurt Hoffen;1;2024-09-20;03:26:35
000162;Mr. Felix Hoffen;1;2023-06-01;10:56:12
000163;Mr. Thomas Hoffen;1;2023-11-25;14:41:41
000164;Mrs. Astrid Hoffen;1;2024-08-01;16:36:28
000165;Mrs. Annemarie Hoffen;1;2023-07-26;05:10:11
000166;Mrs. Ida Hoffen;1;2022-11-04;05:04:58
000167;Mr. Adam Hoffen;1;2023-02-04;22:39:00
000168;Mrs. Marta Dumbach;1;2023-04-23;00:02:45
000169;Mr. Jean Luc Dumbach;1;2021-03-10;23:32:17
000170;Mr. Florian Dumbach;1;2021-04-10;08:47:45
000171;Mrs. Christa Dumbach;1;2022-02-19;21:24:19
000172;Mr. Guillermo Dumbach;1;2024-02-20;23:26:18
000173;Mrs. Christine Dumbach;1;2022-04-19;01:55:34
000174;Mr. Matthias Dumbach;1;2022-08-22;15:35:40
000175;Mrs. Christine Dumbach;1;2022-09-13;20:36:25
000176;Mr. Fabio Dumbach;1;2024-07-31;21:43:39
000177;Mr. Horst Dumbach;1;2022-05-15;21:55:54
000178;Mrs. Mathilde Dumbach;1;2024-12-07;14:15:35
000179;Mr. Lothar Dumbach;1;2022-02-05;18:07:15
000180;Mrs. Irene Dumbach;1;2022-11-18;10:37:30
000181;Mrs. Kristina Dumbach;1;2023-11-17;14:01:22
000182;Mr. Matthias Dumbach;1;2023-04-12;16:23:30
000183;Mrs. Jasmin Goelke;1;2021-08-02;21:15:06
000184;Mr. Kurt Goelke;1;2021-02-07;21:38:40
000185;Mrs. Irene Goelke;1;2024-12-08;01:22:21
000186;Mrs. Annemarie Goelke;1;2022-08-09;06:16:50
000187;Mr. Dominik Goelke;1;2024-04-21;10:40:14
000188;Mr. Kurt Goelke;1;2023-12-15;15:35:43
000189;Mr. Benjamin Goelke;1;2022-08-28;00:15:43
000190;Mrs. Uli Goelke;1;2022-05-08;14:51:25
000191;Mrs. Anna Goelke;1;2024-05-01;13:25:30
000192;Mr. Johann Goelke;1;2021-07-04;06:30:11
000193;Mr. Lothar Goelke;1;2022-10-18;22:46:51
000194;Mr. Matthias Goelke;1;2023-02-03;02:48:31
000195;Mrs. Chantal Goelke;1;2024-01-01;07:58:24
000196;Mr. Horst Goelke;1;2021-11-02;02:33:11
000197;Mr. Simon Goelke;1;2021-06-11;04:56:50
000198;Mrs. Marta Waldmann;1;2024-07-07;18:27:08
000199;Mrs. Laura Waldmann;1;2024-09-25;07:08:15
000200;Mr. Horst Waldmann;1;2022-10-30;21:19:30
000201;Mr. Christoph Waldmann;1;2024-04-09;16:52:48
000202;Mr. Jean Luc Waldmann;1;2022-08-03;19:12:35
000203;Mrs. Astrid Waldmann;1;2021-04-01;23:44:27
000204;Mrs. Sophie Waldmann;1;2024-06-02;00:01:07
000205;Mrs. Irmtraut Waldmann;1;2021-11-21;21:22:13
000206;Mrs. Anneliese Waldmann;1;2021-10-14;21:10:42
000207;Mrs. Irene Waldmann;1;2024-12-18;03:01:58
000208;Mr. Roland Waldmann;1;2023-11-05;12:15:20
000209;Mr. Christoph Waldmann;1;2024-01-21;14:17:43
000210;Mrs. Anna Waldmann;1;2023-01-07;20:56:39
000211;Mrs. Ida Waldmann;1;2024-08-31;01:05:34
000212;Mrs. Chantal Waldmann;1;2021-01-10;06:51:21
000213;Mrs. Gisela Mechler;1;2024-07-06;21:52:31
000214;Mrs. Laura Mechler;1;2021-07-19;17:16:26
000215;Mr. Lee Mechler;1;2021-08-30;02:32:10
000216;Mrs. Irene Mechler;1;2024-02-22;05:52:24
000217;Mr. Florian Mechler;1;2023-08-02;21:18:08
000218;Mr. Juan Mechler;1;2023-02-08;18:25:09
000219;Mr. Salvador Mechler;1;2021-09-28;16:16:20
000220;Mr. Max Mechler;1;2024-02-20;02:39:18
000221;Mrs. Claire Mechler;1;2024-10-08;13:59:35
000222;Mr. Juan Mechler;1;2021-03-21;14:34:43
000223;Mrs. Kristina Mechler;1;2024-04-29;09:22:38
000224;Mr. James Mechler;1;2022-06-23;10:41:58
000225;Mr. August Mechler;1;2024-03-31;11:46:07
000226;Mrs. Cindy Mechler;1;2024-12-12;08:18:38
000227;Mr. Jean Luc Mechler;1;2023-02-28;04:00:24
000228;Mr. Fabio Buehler;1;2023-08-03;18:58:54
000229;Mr. Johann Buehler;1;2022-10-26;14:31:21
000230;Mrs. Cindy Buehler;1;2023-11-23;14:00:18
000231;Mrs. Theresia Buehler;1;2022-08-05;21:53:13
000232;Mrs. Claire Buehler;1;2023-10-20;02:13:40
000233;Mr. Adam Buehler;1;2024-02-18;18:33:36
000234;Mr. Adam Heller;1;2021-01-08;19:49:26
000235;Mr. Max Heller;1;2024-07-11;20:11:37
000236;Mrs. Sophie Heller;1;2023-08-04;05:34:47
000237;Mrs. Kristina Heller;1;2021-10-30;07:03:55
000238;Mr. Friedrich Heller;1;2023-03-25;16:40:07
000239;Mrs. Sophie Heller;1;2023-03-27;20:02:11
000240;Mrs. Ida Heller;1;2024-09-14;17:15:48
000241;Mr. Andrej Heller;1;2023-12-14;05:06:06
000242;Mrs. Cindy Heller;1;2022-03-17;08:31:20
000243;Mrs. Uli Heller;1;2021-12-10;08:37:29
000244;Mr. Siegfried Heller;1;2023-03-18;06:27:35
000245;Mr. Simon Heller;1;2022-01-05;06:27:23
000246;Mr. Volker Simonen;1;2022-08-09;22:51:43
000247;Mr. Dominik Simonen;1;2021-03-02;13:35:02
000248;Mr. Siegfried Simonen;1;2023-01-06;20:42:46
000249;Mrs. Theresia Simonen;1;2023-04-08;19:21:12
000250;Mr. Guenther Simonen;1;2024-11-29;01:27:56
000251;Mrs. Anneliese Simonen;1;2024-02-27;08:47:49
000252;Mr. Guillermo Simonen;1;2021-05-25;07:09:35
000253;Mrs. Kristina Simonen;1;2023-12-14;18:18:30
000254;Mrs. Laura Simonen;1;2024-11-29;18:32:34
000255;Mr. Matthias Simonen;1;2022-05-18;08:29:38
000256;Mrs. Anneliese Simonen;1;2024-05-01;16:54:18
000257;Mr. Georg Simonen;1;2022-08-25;19:44:10
000258;Mrs. Jasmin Simonen;1;2022-12-23;04:04:13
000259;Mrs. Ruth Simonen;1;2023-05-09;01:58:39
000260;Mr. Lee Simonen;1;2024-04-06;19:44:20
000261;Mr. Walter Henry;1;2021-04-03;15:34:12
000262;Mr. Salvador Henry;1;2022-06-02;12:27:11
000263;Mr. James Henry;1;2021-04-04;12:23:10
000264;Mr. Johannes Henry;1;2021-07-11;12:31:34
000265;Mr. Andreas Henry;1;2023-03-15;02:51:06
000266;Mr. Siegfried Henry;1;2021-06-02;12:59:12
000267;Mrs. Gisela Henry;1;2024-12-31;19:34:45
000268;Mr. Thilo Henry;1;2024-04-17;10:16:23
000269;Mr. Johann Henry;1;2021-01-16;22:41:32
000270;Mrs. Christa Henry;1;2023-07-06;04:54:12
000271;Mr. Johannes Henry;1;2024-10-19;16:08:09
000272;Mrs. Ruth Henry;1;2023-08-11;11:45:56
000273;Mrs. Anneliese Henry;1;2024-08-26;01:48:35
000274;Mrs. Kristina Henry;1;2023-01-23;12:44:17
000275;Mr. Lothar Henry;1;2023-07-16;21:40:15
000276;Mr. Achim Marshall;1;2024-08-23;15:32:44
000277;Mr. Adam Marshall;1;2024-11-16;08:48:01
000278;Mr. Simon Marshall;1;2021-08-24;21:03:04
000279;Mr. Johann Marshall;1;2021-06-20;04:01:10
000280;Mr. Guillermo Marshall;1;2022-10-24;17:50:04
000281;Mr. Friedrich Marshall;1;2024-01-15;19:54:07
000282;Mrs. Irene Marshall;1;2022-06-10;13:32:05
000283;Mr. Roland Marshall;1;2021-04-08;18:17:54
000284;Mrs. Sophie Marshall;1;2021-09-01;00:47:52
000285;Mr. Kurt Marshall;1;2023-07-21;21:49:38
000286;Mr. Stephen Marshall;1;2021-09-29;15:52:44
000287;Mr. Pierre Marshall;1;2022-04-28;16:31:03
000288;Mr. Johannes Marshall;1;2021-06-18;13:41:00
000289;Mr. Matthias Marshall;1;2024-07-12;08:06:16
000290;Mr. Horst Marshall;1;2021-01-01;00:47:08
000291;Mrs. Kristina Legrand;1;2021-03-29;23:57:48
000292;Mrs. Christine Legrand;1;2021-09-14;18:22:40
000293;Mr. Illya Legrand;1;2024-03-20;11:11:04
000294;Mr. Volker Legrand;1;2022-07-21;00:46:14
000295;Mrs. Anna Legrand;1;2022-12-02;05:08:19
000296;Mr. Georg Legrand;1;2024-12-19;03:04:17
000297;Mr. Andreas Jacqmain;1;2021-08-30;02:47:40
000298;Mrs. Cindy Jacqmain;1;2021-04-28;05:49:23
000299;Mr. Illya Jacqmain;1;2024-09-07;23:12:52
000300;Mrs. Theresia Jacqmain;1;2024-09-13;10:15:10
000301;Mrs. Amelie Jacqmain;1;2024-02-20;23:00:32
000302;Mr. Siegfried Jacqmain;1;2024-12-25;17:48:34
000303;Mrs. Jasmin Jacqmain;1;2024-09-19;06:50:56
000304;Mrs. Theresia Jacqmain;1;2021-11-28;03:30:10
000305;Mr. James Jacqmain;1;2022-09-12;14:25:16
000306;Mr. Holm Jacqmain;1;2024-05-07;02:50:51
000307;Mr.  Hendrik D´Oultrement;1;2021-04-06;02:59:37
000308;Mrs. e Jasmin D´Oultrement;1;2021-04-27;06:20:25
000309;Mr. Jean D´Oultrement;1;2024-10-21;13:47:16
000310;Mr. Georg D´Oultrement;1;2021-06-12;16:54:18
000311;Mr. Jean D´Oultrement;1;2021-05-10;15:58:03
000312;Mr. Adam D´Oultrement;1;2021-05-08;12:35:47
000313;Mrs. Laura D´Oultrement;1;2023-12-14;17:05:51
000314;Mrs. Anne Marie D´Oultrement;1;2021-03-02;13:08:42
000315;Mr. James D´Oultrement;1;2024-08-15;21:26:55
000316;Mrs. Laura D´Oultrement;1;2021-12-22;05:51:09
000317;Mr. Guenther D´Oultrement;1;2022-12-27;10:48:47
000318;Mr. Volker D´Oultrement;1;2023-06-16;13:47:12
000319;Mr. Andrej D´Oultrement;1;2021-03-15;11:44:08
000320;Mr. Christoph Hunter;1;2023-07-23;12:09:20
000321;Mr. Dominik Hunter;1;2024-06-17;07:56:59
000322;Mr. Peter Hunter;1;2022-09-28;17:30:56
000323;Mr. Horst Hunter;1;2023-09-14;14:06:04
000324;Mrs. Mathilde Hunter;1;2024-05-29;07:02:15
000325;Mr. Illya Hunter;1;2022-09-22;15:24:19
000326;Mrs. Gisela Hunter;1;2023-01-31;15:50:21
000327;Mr. Matthias Hunter;1;2022-04-21;13:10:05
000328;Mr. Jean Hunter;1;2022-05-08;03:45:18
000329;Mr. Thilo Hunter;1;2024-01-28;23:09:16
000330;Mr. August Hunter;1;2024-02-10;22:49:21
000331;Mr. Johannes Hunter;1;2021-06-01;19:16:55
000332;Mr. Jean Hunter;1;2024-11-26;18:37:17
000333;Mr. Hendrik Delon;1;2021-05-31;17:59:49
000334;Mr. Hendrik Delon;1;2021-06-08;09:02:44
000335;Mr. Hendrik Delon;1;2022-05-28;15:10:45
000336;Mr. Allen Delon;1;2022-07-28;13:08:48
000337;Mr. Lothar Delon;1;2024-05-02;07:42:14
000338;Mrs. Christine Delon;1;2021-09-18;13:55:30
000339;Mr. Felix Delon;1;2021-12-06;03:57:46
000340;Mrs. Sophie Delon;1;2023-07-26;17:41:15
000341;Mr. Illya Kreiss;1;2024-12-19;18:20:20
000342;Mr. Fabio Kreiss;1;2021-12-04;10:29:46
000343;Mr. Kurt Kreiss;1;2023-03-13;08:23:39
000344;Mrs. Jasmin Kreiss;1;2021-02-08;03:31:02
000345;Mrs. Theresia Kreiss;1;2024-07-04;12:46:28
000346;Mr. Ludwig Kreiss;1;2023-03-31;19:37:28
000347;Mr. Harish Trensch;1;2021-05-04;22:31:13
000348;Mr. Matthias Trensch;1;2021-04-26;17:39:11
000349;Mr. Volker Trensch;1;2021-06-11;10:25:31
000350;Mr. James Trensch;1;2023-07-19;00:32:56
000351;Mr. Christoph Trensch;1;2024-03-31;10:01:04
000352;Mrs. Ruth Cesari;1;2023-02-06;21:52:39
000353;Mr. Allen Cesari;1;2023-01-22;06:50:35
000354;Mr. Georg Cesari;1;2023-08-19;17:12:31
000355;Mrs. Marta Cesari;1;2023-12-08;06:16:02
000356;Mrs. Anna Cesari;1;2023-12-16;05:28:02
000357;Mr. Allen Cesari;1;2023-01-11;10:09:18
000358;Mrs. Cindy Cesari;1;2023-10-01;17:53:43
000359;Mrs. Claire Cesari;1;2024-11-27;13:54:38
000360;Mr. Horst Cesari;1;2021-08-27;01:42:41
000361;Mr. Adam Matthaeus;1;2022-05-27;18:20:49
000362;Mr. Juan Matthaeus;1;2024-07-21;16:54:37
000363;Mr. Holm Matthaeus;1;2021-02-17;10:49:53
000364;Mrs. Christa Matthaeus;1;2021-12-05;20:55:27
000365;Mr. Salvador Matthaeus;1;2024-05-09;17:27:38
000366;Mr. Achim Matthaeus;1;2021-02-26;13:49:27
000367;Mr. Stephen Babilon;1;2024-07-26;19:50:59
000368;Mrs. Theresia Babilon;1;2022-09-11;18:46:58
000369;Mr. Florian Babilon;1;2022-05-13;17:19:07
000370;Mrs. Irmtraut Babilon;1;2021-02-24;06:41:16
000371;Mr. Andreas Babilon;1;2024-06-11;05:41:36
000372;Mr. Horst Babilon;1;2021-10-21;06:46:01
000373;Mr. Guenther Babilon;1;2021-02-16;17:26:52
000374;Mrs. Laura Babilon;1;2024-10-28;17:16:41
000375;Mr. Achim Babilon;1;2023-04-16;18:29:00
000376;Mrs. Theresia Babilon;1;2023-11-16;04:34:49
000377;Mr. Dominik Babilon;1;2023-08-04;08:01:19
000378;Mr. Guillermo Babilon;1;2022-11-24;01:22:35
000379;Mrs. Kristina Babilon;1;2023-01-20;07:47:48
000380;Mr. Horst Babilon;1;2022-05-10;07:24:12
000381;Mr. Benjamin Babilon;1;2023-06-15;23:27:49
000382;Mrs. Claire Zimmermann;1;2024-04-10;02:02:45
000383;Mr. Dominik Zimmermann;1;2023-06-12;12:13:19
000384;Mr. Holm Zimmermann;1;2023-05-08;03:40:29
000385;Mr. Jean Zimmermann;1;2022-01-29;00:15:39
000386;Mr. James Zimmermann;1;2023-10-17;14:54:05
000387;Mrs. Sophie Zimmermann;1;2024-12-25;15:58:45
000388;Mr. Jean Zimmermann;1;2022-03-27;04:26:18
000389;Mrs. Sophie Zimmermann;1;2022-08-15;11:20:02
000390;Mrs. Christine Zimmermann;1;2022-10-19;10:09:14
000391;Mrs. Irmtraut Zimmermann;1;2021-06-04;09:48:05
000392;Mr. Andrej Zimmermann;1;2024-12-16;17:22:58
000393;Mr. Pierre Zimmermann;1;2022-12-05;08:02:18
000394;Mr. Matthias Kramer;1;2021-09-29;15:47:43
000395;Mr. Pierre Kramer;1;2024-10-20;11:10:07
000396;Mr. Peter Kramer;1;2022-02-03;11:07:11
000397;Mrs. Theresia Kramer;1;2023-07-01;15:58:21
000398;Mr. Kurt Kramer;1;2022-07-29;16:40:27
000399;Mrs. Astrid Kramer;1;2022-04-01;08:48:27
000400;Mr. Jean Luc Kramer;1;2021-02-07;08:25:31
000401;Mr. Allen Kramer;1;2023-10-02;14:57:05
000402;Mr. Adam Kramer;1;2023-04-14;16:53:28
000403;Mr. Horst Kramer;1;2023-09-19;08:55:19
000404;Mr. Johannes Kramer;1;2024-04-16;11:35:59
000405;Mrs. Ruth Kramer;1;2022-03-19;05:29:26
000406;Mr. Stephen Kramer;1;2021-01-25;00:27:36
000407;Mrs. Irene Illner;1;2023-04-08;22:58:50
000408;Mr. Hendrik Illner;1;2022-01-20;13:41:54
000409;Mr. Kurt Illner;1;2023-05-01;21:41:29
000410;Mr. Max Illner;1;2023-10-02;18:03:17
000411;Mr. Benjamin Illner;1;2023-11-04;05:23:43
000412;Mr. Illya Illner;1;2024-04-15;17:08:27
000413;Mr. Peter Illner;1;2022-09-21;11:55:19
000414;Mr. Harish Illner;1;2021-06-08;13:34:01
000415;Mr. Adam Illner;1;2023-11-30;19:55:19
000416;Mr. Horst Illner;1;2023-08-23;19:57:12
000417;Mr. Roland Illner;1;2023-08-23;14:34:06
000418;Mr. Dominik Illner;1;2022-07-28;08:41:16
000419;Mrs. Annemarie Illner;1;2024-12-09;22:42:05
000420;Mrs. Chantal Illner;1;2024-03-24;17:30:11
000421;Mrs. Mathilde Pratt;1;2022-07-31;05:08:18
000422;Mr. Adam Pratt;1;2021-08-30;03:31:01
000423;Mr. Holm Pratt;1;2023-06-05;02:51:15
000424;Mr. Harish Pratt;1;2022-10-06;09:29:12
000425;Mrs. Chantal Pratt;1;2023-12-02;12:26:56
000426;Mr. James Pratt;1;2021-03-18;07:43:34
000427;Mr. August Pratt;1;2023-06-08;13:51:25
000428;Mr. Stephen Pratt;1;2022-12-18;20:21:44
000429;Mr. Friedrich Pratt;1;2024-08-13;14:45:36
000430;Mrs. Anne Marie Pratt;1;2022-12-27;07:35:29
000431;Mr. Stephen Pratt;1;2024-04-17;13:20:14
000432;Mrs. Sophie Pratt;1;2023-03-09;16:03:15
000433;Mr. August Pratt;1;2023-03-24;05:26:19
000434;Mr. Johann Pratt;1;2024-06-05;20:10:15
000435;Mr. Christoph Pratt;1;2022-09-05;02:54:09
000436;Mr. Illya Gahl;1;2023-04-19;17:10:39
000437;Mr. August Gahl;1;2022-06-16;10:51:59
000438;Mrs. Ruth Gahl;1;2024-03-06;19:00:14
000439;Mrs. Sophie Gahl;1;2023-12-31;09:06:46
000440;Mrs. Chantal Gahl;1;2022-06-25;16:15:05
000441;Mrs. Irmtraut Gahl;1;2022-07-26;01:54:06
000442;Mr. Thilo Gahl;1;2023-08-22;17:28:48
000443;Mr. Jean Luc Gahl;1;2024-04-23;10:00:40
